date_received,product,sub_product,issue,sub_issue,consumer_narrative,company_public_response,company,state,tags,submitted_via,company_response,timely_response,consumer_disputed,year,month,has_narrative,product_normalised
2019-06-06,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,,Web,Closed with explanation,1,,2019,6,0,Debt collection
2015-04-18,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,The last payment made on this Account was XXXX,,CAPITAL ONE FINANCIAL CORPORATION,IL,,Web,Closed with explanation,1,1.0,2015,4,1,Consumer Loan
2017-02-16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,I have a student loan thru Navient I have been paying on the loans but over the years instead of the loan amount decreasing they have been increasing.,,"Navient Solutions, LLC.",LA,,Web,Closed with explanation,1,0.0,2017,2,1,Student loan
2023-09-28,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit,Alridge Pite Haan has garnished my wages. I am a XXXX parent. This law firm went ahead and garnished my wages for a debt without allowing me to settle thru a payment arrangement. As a result I am not able to pay my rent. I am a state employee and a XXXX  mother on very low income. I have made repeated attempts to both call their office and filled out a online payment settlement letter request form more than once. All attempts have been ignored. I emailed them this morning and they stated that someone would contact me. I then attempted to call their office six or seven times and left messages. I still haven't received any responses. This garnishment has placed me in a state of homelessness because I was unable to make my rental obligation.,,"Aldridge PIte Haan, LLP",GA,,Web,Closed with explanation,1,,2023,9,1,Debt collection
2015-06-08,Mortgage,Other mortgage,Other,,,,PNC Bank N.A.,CA,,Postal mail,Closed with explanation,1,0.0,2015,6,0,Mortgage
2023-06-11,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,"Synerprise Consulting Services, Inc.",TX,,Web,Closed with explanation,1,,2023,6,0,Debt collection
2021-06-08,"Money transfer, virtual currency, or money service",International money transfer,Wrong amount charged or received,,,Company believes complaint is the result of an isolated error,NAVY FEDERAL CREDIT UNION,NC,Servicemember,Phone,Closed with monetary relief,1,,2021,6,0,Money transfer / service
2015-02-27,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,M&T BANK CORPORATION,MD,,Web,Closed with explanation,1,0.0,2015,2,0,Mortgage
2022-01-27,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"I'm currently pursuing PSLF through FedLoan Servicing, and they have completely erased my entire history of PSLF payments. 

In XXXX of 2021 I was at roughly 82 qualifying payments towards PSLF ( pre-waiver rules ), but should be near or at forgiveness when the Limited Waiver is applied. However, as of XX/XX/2021 FedLoan has erased my entire PSLF history and it is now set to 0 with no explanation, especially in the context on the new Limited Waiver. 

I originally filed a complaint through the FSA with the Ombudsman, who helped get my pre-limited waiver PSLF payment counts to that 82. When my PSLF payment count dropped to 0 in XXXX I filed a new complaint with the Ombudsman, but they have put my request in "" pending '' status and say that the error is "" stuck '' with FedLoan. I have not been able to get any help from FedLoan or the Ombudsman in moving my complaint case forward. 

I am asking for my payment counts to be restored and for the limited waiver to be applied to update my now eligible past payments as I am either near forgiveness or should already have my loans forgiven under the PSLF Limited Waiver.",,AES/PHEAA,CA,,Web,Closed with non-monetary relief,1,,2022,1,1,Student loan
2013-03-29,Bank account or service,Savings account,Deposits and withdrawals,,,,BANCO POPULAR DE PUERTO RICO,PR,,Referral,Closed with explanation,1,0.0,2013,3,0,Bank account / service
2021-07-06,Student loan,Federal student loan servicing,Incorrect information on your report,Information belongs to someone else,,Company believes it acted appropriately as authorized by contract or law,"Nelnet, Inc.",CA,,Web,Closed with explanation,1,,2021,7,0,Student loan
2013-02-26,Mortgage,Other mortgage,Other,,,,WELLS FARGO & COMPANY,IL,,Postal mail,Closed with non-monetary relief,1,1.0,2013,2,0,Mortgage
2025-01-21,Checking or savings account,Other banking product or service,Managing an account,Problem making or receiving payments,My information was used fraudulent with my bank account using zelle,,"Early Warning Services, LLC",NY,,Web,Closed with explanation,1,,2025,1,1,Bank account / service
2022-04-05,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"I live in California, was on a vacation in XXXX, Tennessee. During my time there ( XXXX ), my card was charged for Gas in the amount of {$26.00} with the location saying "" city, Florida '' XXXX XX/XX/22. I have never been to Florida, I don't know anyone in Florida, and have never given my card number or authorized anyone to use my bank account information. When I contacted Chase, they filed a claim and reimbursed the funds. A few days later on XX/XX/22 they then sent me a letter stating that after investigation they feel that the charge was valid and authorized. It makes no sense that I was in Tennessee, and all my charges prior to and after that Florida charge were in Tennessee. They said the extent of their investigation was that the PIN number was correctly input on the first attempt, and that they can't reverse it. Due to the fear of my account being compromised, I withdrew then entirety of my funds. I also received an email with an invoice that someone from New Mexico ordered personal checks with their name and address information on them from XXXX, Chase 's check company partner, with my bank account information on it. This tells me that my bank account is completely compromised, and Chase is doing nothing to help me resolve the situation. There is no safety and security from Chase in this.",,JPMORGAN CHASE & CO.,CA,,Web,Closed with explanation,1,,2022,4,1,Bank account / service
2022-10-26,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,VA,,Web,Closed with explanation,1,,2022,10,0,Mortgage
2024-06-17,Checking or savings account,Checking account,Closing an account,Company closed your account,"I opened an account by the name of XXXX XXXX XXXX XXXX with a wells fargo representative in XXXX XXXXXXXX XXXX, on or around XX/XX/year>, the representative told me they would send me a debit card so I can use it at an ATM to make deposits on the go. They stated they would wait and not penalize me for the wait for receiving my account information. I waited for but never received this debit card, Meanwhile Wells Fargo began to charge my account for inadequate balance and eventually closed my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,Servicemember,Web,Closed with explanation,1,,2024,6,1,Bank account / service
2022-09-08,Mortgage,FHA mortgage,Trouble during payment process,,"Right after Covid started. I went on a forbearance with my Mortgage company. At the very end of my forbearance we decided to do a loan modification. This was in XXXX of 2022. After 4 different attempts to send them back all the necessary paperwork notarized to finalize the deal they finally accepted it. All three of the first three attempts that had to be resubmitted were errors by XXXX XXXX. Not errors by me. So from XXXX when the process started until the beginning of XXXX after the fourth time sending everything in it was finally accepted on their end. After trying for a couple months to sign into their website to navigate and learn it I was finally able to in late XXXX. In the midst of all this XXXX XXXX sold my Loan to a company called Right Path servicing. It wont let me navigate certain things and wont let me make any kind of payment. My biggest concern is that at the top of the website when i sign in, it says account under review by underwriting. It also says that once all notarized papers are processed the account will be unlocked as soon as everything passes. Thats kinda strange to me because they accepted the modification in XX/XX/2022. The reason it took over 5 months to get everything worked out is because the first three times they sent the packet to me it was wrong and all were errors on their end. And now we are in XXXX and it still says that I cant make any kind of payment on my account and that all my stuff is being reviewed 9 months later. They have been calling me every day for the last 5 months telling me the same thing everytime, that they are a debt collector, etc, etc. I always ask them the same thing. Why is my paperwork still being reviewed 8-9 months later? Nobody can give me an answer at all. I refuse to make my payments that were slated to start on XX/XX/XXXX, because nothing is finalized on their end yet. Its strange because my payment went up and so did my mortage rate as well.Im honestly contemplating doing a refinance with a different company just to get away from this company all together. Before Covid i made all my payments on time and never had any issues. I fell on some hard times and it is what it is. I would really like to see what my options are please. I really dont want to lose my house. I can make the XXXX, XXXX, and XXXX payments if needed but I just dont know why the papers are still being reviewed after all this time. Please help me with some options. Thanks and Have a good day.",,Mr. Cooper Group Inc.,MI,,Web,Closed with explanation,1,,2022,9,1,Mortgage
2018-04-21,Debt collection,Other debt,False statements or representation,Attempted to collect wrong amount,"I have send certified letters to ATG regarding the alleged education debt on XX/XX/XXXX, certified letters to XXXX, XXXX and XXXX XXXX regarding the debt and have not received any resolution. 
I also sent a certified letter ( on XX/XX/XXXX ) requesting evidence and verification of the debt and ATG sent incomplete verification, debts in a different amount than what they are showing as a collection on my credit report and they are trying to collect funds from a VERY OLD DEBT from XX/XX/XXXX. This alleged debt that is incorrectly showing on my credit report is from XX/XX/XXXX ( 7 years ago ) so it is a very old debt as well. 

Please help me in getting this fixed with ATG.",Company believes it acted appropriately as authorized by contract or law,"ATG Credit, LLC",IL,,Web,Closed with explanation,1,,2018,4,1,Debt collection
2018-01-23,"Payday loan, title loan, or personal loan",Title loan,Problem with the payoff process at the end of the loan,,"My husband XXXX XXXX XXXX XXXX 2017 after this happened I sent the appropriate documentation to the loan office which is OneMain Financial used to be called Springleaf Financial I was then told that my husband had credit life insurance and then it would cover the remaining balance of the loan and I would be mailed the titles to the vehicles. However when I asked XXXX the branch manager XXXX in XXXX office he said that he could not give me any documentation he was rude to me gave me the run-around and told me I need to get a court order to get documentation all I wanted was to handle my husband 's affairs I feel like they were unprofessional did not answer my questions I would like his account investigated and looked upon because I am doubting the accuracy of the numbers since this this loan was just modified XXXX and I 've been making numerous payments I 've been and I 'm wondering why I can not get his file nor get answers I want to look into and if needed I would like corrective action taken to anyone who has been doing unethical things on behalf of my XXXX husband and if I 'm owed money or it needs to go to an account for a trust that I want it I want to be notified. 
I believe that there is money due back to the benefactor which would be me next to XXXX please look into this matter of the utmost importance.",,"ONEMAIN FINANCIAL HOLDINGS, LLC.",IN,Servicemember,Web,Closed with explanation,1,,2018,1,1,Payday loan / title / personal
2018-06-04,Credit card or prepaid card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,,,DISCOVER BANK,PA,,Web,Closed with explanation,1,,2018,6,0,Credit card
2018-07-13,Debt collection,Other debt,Written notification about debt,Didn't receive enough information to verify debt,,Company can't verify or dispute the facts in the complaint,"CCS Financial Services, Inc.",CA,,Web,Closed with explanation,1,,2018,7,0,Debt collection
2024-12-09,Vehicle loan or lease,Loan,Struggling to pay your loan,Denied request to lower payments,"Loan Overview : - Date Financed : XX/XX/XXXX - Loan Amount Financed : {$36000.00} - APR : 24 % - Loan Term : 73 months - Monthly Payment : {$970.00} - Payoff Amount Quoted ( XXXX XXXX ) : {$36000.00} - Total Paid to Date ( 21 months ) : {$18000.00} - Current Principal Balance : {$34000.00} - Fees & Charges : {$1400.00} - Vehicle : XXXX XXXX XXXX, XXXX miles - Estimated Vehicle Value ( XXXX ) : {$24000.00} {$28000.00} I am filing this complaint against American Credit Acceptance ( ACA ) as a co-signer on the above-mentioned auto loan. While I have not been contacted directly by ACA, I am legally responsible for this debt, and I have experienced direct financial harm due to ACAs predatory lending practices, unjustified fees, and refusal to provide transparency about the payments made on this account. I have witnessed how ACAs actions have caused my credit to be negatively impacted and how their excessive loan balance has prevented me from helping the primary borrower refinance the loan through reputable lenders. 

This loan has become a financial and emotional burden. I co-signed this loan to support the primary borrower, but I now see that ACA 's structure was never intended to help borrowers succeed. Despite making over {$18000.00} in payments over 21 months, only {$2400.00} has been applied to reduce the principal. Meanwhile, ACA claims that the payoff balance is {$36000.00}, which is almost identical to the original loan balance of {$36000.00}. This discrepancy makes no logical sense after nearly 2 years of payments. 

Worse, attempts to refinance the loan through major lenders like XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX and XXXX have all been denied. Each lender cited that the payoff amount is far higher than the actual value of the car, making it impossible to refinance. This leaves me financially trapped as a co-signer because I am legally responsible for a debt that can not be paid off, can not be refinanced, and continues to grow through fees and interest. This is the definition of predatory lending. 

1. Minimal Principal Reduction Despite Substantial Payments I am responsible for this loan, but I have no control over how ACA allocates payments. Despite {$18000.00} in payments made, the principal has only been reduced by {$2400.00}, while over {$16000.00} has gone to interest, fees, and penalties. This is a clear misapplication of payments and does not align with basic principles of simple interest loans.

According to ACA, this is a simple interest loan, which means payments should be applied to interest and principal according to the terms of the contract. However, the vast majority of payments are being directed toward fees and interest, and ACA refuses to provide an itemized breakdown. I have been left in the dark about how payments are being applied, and despite repeated requests from the primary borrower, ACA has never provided a clear payment history. 

As a co-signer, I have the right to see how payments are being handled and how fees are being applied. If I am legally responsible for this loan, I have the right to know how payments are being allocated. 

2. Excessive and Unjustified Fees The most recent payoff statement from ACA shows a total of {$1400.00} in fees and charges, but I have never received an explanation for these fees. The primary borrower requested an itemized breakdown, but ACA did not provide one. These fees seem to grow over time, and there is no clear logic as to how they were calculated. 

If I am being held responsible for fees as a co-signer, I deserve to know how they were calculated, whether they are legitimate, and how they are being applied. I believe these fees are excessive and designed to inflate the balance to keep the loan in a negative-equity position. I believe this practice is illegal, deceptive, and violates fair lending principles. 

3. Grossly Inflated Payoff Balance ( 150160 % Loan-to-Value ) The payoff balance is {$36000.00}, which is almost identical to the original loan amount of {$36000.00}, even though over {$18000.00} has already been paid. At the same time, the vehicle 's current value ( based on XXXX XXXX XXXX ) is only {$24000.00} to {$28000.00}. This leaves a Loan-to-Value ( LTV ) ratio of 150160 %, far beyond industry standards for reasonable loans. 

Because of this inflated LTV, I have been unable to help the primary borrower refinance this loan through other lenders. We submitted refinancing applications to XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, but each lender denied the application. The reason for denial was the same each time : the loan balance is too far above the value of the car. This is a clear sign that ACA 's lending practices are not consistent with fair lending principles. 

4. Predatory Lending and Debt Trap As a co-signer, I was led to believe that I was signing up for a fair and manageable loan. But after nearly 2 years, I have seen how ACAs predatory lending structure is designed to trap borrowers in debt they can not escape. 

Heres why I believe ACAs practices are predatory : - Payments are disproportionately allocated to fees and interest, with only 13 % applied to principal.

- The LTV ratio is inflated so high ( 150160 % ) that it prevents borrowers from refinancing. 
- The fees are excessive, unexplained, and appear to be used to maintain the balance, even as payments are made. 
- ACA refuses to provide transparency or full payment breakdowns. 

The result is that I am financially trapped in a loan that I can not refinance, can not resolve, and can not pay off. This is not just financially burdensome it is emotionally exhausting. 

If ACA fails to resolve this matter, I am prepared to escalate my complaint to the state attorney general. I have been financially harmed as a co-signer and left with no way to refinance or settle the loan. I believe ACA has engaged in predatory lending practices, which violate fair lending principles. 

I agreed to co-sign this loan in good faith, but I have now seen how ACA traps borrowers in debt they can not escape. I have experienced credit score damage because the balance never seems to go down, and Ive had to endure the stress of being legally responsible for a debt I can not control. I ask that the CFPB hold ACA accountable for its unfair practices and demand transparency, fairness, and equity.",,"American Credit Acceptance, LLC",PA,,Web,Closed with explanation,1,,2024,12,1,Vehicle loan / lease
2022-04-10,Credit card or prepaid card,Store credit card,Fees or interest,Problem with fees,"XXXX XXXX Genesis FS Card Service is all of a sudden charging a way higher monthly charge when my balance is actually less than it's been in a year. 
I have a {$1500.00} Credit limit. I currently carry a balance of {$810.00} and they are charging me a monthly charge of {$90.00}. I called them on XX/XX/XXXX @ XXXX and disputed the charge. They couldn't explain why the sudden increase and said they would have someone call me regarding the dispute. That never happened. The fact is that in the past my balance/ monthly charge have been the following.. 
XX/XX/XXXX {$870.00} {$72.00} monthly charge XX/XX/XXXX {$950.00} {$73.00} XXXX/XXXX {$930.00} {$47.00} XX/XX/XXXX {$970.00} {$49.00} XX/XX/XXXX {$1000.00} {$53.00} XX/XX/XXXX {$1100.00} {$55.00} XX/XX/XXXX {$1100.00} {$59.00} XX/XX/XXXX {$1200.00} {$64.00} XX/XX/XXXX {$1200.00} {$63.00} XX/XX/XXXX {$1300.00} {$66.00} XX/XX/XXXX {$1300.00} {$69.00} XX/XX/XXXX {$1400.00} {$70.00} This is the last statement available on line. 

But as you can see, I've carried higher balances and my monthly has adjusted accordingly. But when I asked them to explain how they came upon charging me {$90.00} they said it was due to the purchase I made back in XX/XX/XXXX. Funny, because my statement with my charges from XXXX were posted on my bill due on XX/XX/XXXX, since the statement closing date is XX/XX/XXXX. In the month of XX/XX/XXXX I also paid down my card making a total of {$880.00} and the new purchases were in the amount of {$190.00} and {$690.00} ( which has a promotional 0 % until XX/XX/XXXX ). 
Are they trying to penalize me for paying down my card?? I paid off 90 % of my previous balance before the closing of XXXX and all of a sudden starting XX/XX/XXXX my monthly charge sky rocketed. 
Like I said, I called them was on the phone for XXXX minutes and they couldn't give me an explanation of why they were now charging me {$90.00}, they said someone would call me back since I was disputing the charges and no one did. I didn't pay the {$90.00} due on XXXX ( also now I'm not allowed to pay my bill early, it can only be on the due date ) so they are now charging me {$180.00}?????? They are very unprofessional and it's evident the staff is not well trained and management does not care about resolving a customers issue with billing. Since closing my card is not an option because it would hurt my credit, I come to you to help me resolve this. 
Thank you, XXXX XXXX XXXX XXXX",,"CLGF Holdco 1, LLC",TX,,Web,Closed with explanation,0,,2022,4,1,Credit card
2024-09-13,Credit card,General-purpose credit card or charge card,Getting a credit card,Application denied,"Discover Card repeatedly denied credit card applications without valid justification as to why they did so. Furthermore, the pre-qualifying application page no longer works- most likely due to the webmaster of the credit card company deliberately removing the application page to prevent the application being processed again. Have sent in numerous requests and almost all the applications were denied.",,DISCOVER BANK,NY,,Web,Closed with explanation,1,,2024,9,1,Credit card
2017-05-23,Debt collection,Other debt,Took or threatened to take negative or legal action,Collected or attempted to collect exempt funds,"XXXX   XXXX ,  2016 {$34 .00} I talked with  XXXX  and said I could pay what they offered. Though, when I had more money to pay the account for full. "" They did not fill in the remarks on the the credit bureaues, credit reporting agency 's ''. I said, I can pay for the full amount. They said no what was agreed you can pay for. During the conversation, I suggested to pay more. And initiated the clear communication I can pay for the full amount of  XXXX   XXXX  dollars. Then, she said no. Only the amount, you were talking with  XXXX  about. They were damaging my  credit score.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Allied Collection Services, Inc. (Nevada)",NV,,Web,Closed with explanation,1,,2017,5,1,Debt collection
2025-09-18,Credit card,General-purpose credit card or charge card,Credit monitoring or identity theft protection services,Billing dispute for services,I received 2 statements with account numbers ending in XXXX and XXXX. I never opened accounts or received credit cards with those ending numbers. My VISA Citi cards were XXXX and the two account numbers in question were some other type of name. It is possible that Citi might have been issuing new cards to me and they were stolen and someone else used the cards. I never received the cards that have these ending numbers.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,Older American,Web,Closed with explanation,1,,2025,9,1,Credit card
2025-01-16,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"I am writing to file a complaint against Navy Federal Credit Union regarding multiple overdraft fees I have incurred. Despite having sufficient funds when transactions were authorized, I was charged fees due to lagged posting of charges and credits. This issue aligns with the recent CFPB findings against Navy Federal for similar practices, where transactions settled with insufficient balances despite initially available funds. I believe these practices are unfair and request an investigation into my account transactions.",Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,NC,Servicemember,Web,Closed with explanation,1,,2025,1,1,Bank account / service
2013-10-29,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,JPMORGAN CHASE & CO.,IA,,Phone,Closed with explanation,1,1.0,2013,10,0,Consumer Loan
2025-01-16,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,,,"Portfolio Recovery Associates, LLC",GA,,Web,Closed with explanation,1,,2025,1,0,Debt collection
2023-07-21,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"LVNV Funding LLC placed my account with Resurgent capital services ( collection agency ) on XX/XX/2023 and {$770.00} must be paid. I never had an account with LVNV. 
I attempted to call Resurgent Capital Services, but nobody answered the phone. 
Resurgent Capital Srvc XXXX XXXX XXXX XXXX, SC XXXX XXXX",,Resurgent Capital Services L.P.,CA,,Web,Closed with explanation,1,,2023,7,1,Debt collection
2025-01-03,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with fees charged,"in XXXX i i purchased a vehicle from lXXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX and was sent to lendmark to finance XXXX because i put down over XXXX dollars at the time of this finance i was never given a copy of my credit report nothing was ever gone over upon execution of this loan it was like i trusted that agency but didnt realize that lendmark would be deceptive in there loan practices anyway they charged me on that loan XXXX too much and remember i only wanted to borrow XXXX with the price at XXXX XXXX because of add ons that is illegal to do to a consumer for a auto loan. i addressed this issue and it took them a long time to say its no longer on my loan contract that is not believable they should of rewritten the contrac that XXXX cents is a big difference in price also the interest rate was 26.72 % so a year later whuch is in XXXX of XXXX i borrowed XXXX on a personal loan by that time i paid XXXX on the first loan after getting the paperwork it is now a refinace when it was oringinally a personal loan so lendmark takes the total of what i paid on the firdt loan and adds it to the new loan of XXXX making the amount higher interest rate went from XXXX & to 35.99 % and they should have used the balance of XXXX that the remainder of the first loan so now its a higer amount and again they are predatory lenders and i have tried to address these issue with this co so many times no change matter they always give you some kind of excuse and i have done so homework they have had over XXXX complaints about there loan practices in the last three years thru the XXXX  also i have requested a copy of the sales contract from lendmark they said they dont have a copy, this is my 3rd complaint about lendmark financial this issue needs to be addressed asap there dealings are a violation of the tila act and they are not going to stop doing what they do until another agency does a complete audit of buisness they are robbing folk s and im one of them i plan on taking them to small claims court because if they were honest then they would have completed the error that s how again i know that it was an intentional act that wasnt a mistake they need they license revoked also alot of those customers dont realize that there getting ripped off well it took me a minute to research the truth about what a lender can and can not do and they violated, no credit report was ever in my veiw the apr is sky high i have not been late on my payments also they wont give me a copy of my purchase agreement that they say they dont have and the calulation should have been XXXX $ not XXXX $ so that XXXX XXXX plus XXXX that im being jipped plus i have paid my car note with my debit card never a check and noticed that they have nsf fees of XXXX $ on my payment history i never write a check.i wont take up to much, more of your time i already have my packet for court im not gon na be there victim im a stand up and proceed to court i just hope that you will look into it, thank you l",,Lendmark Financial Services,CA,Servicemember,Web,Closed with explanation,1,,2025,1,1,Vehicle loan / lease
2015-12-09,Money transfers,Domestic (US) money transfer,Money was not available when promised,,"I bought a ticket to an event at the XXXX XXXX festival that happened in XXXX NY in XXXX XXXX, 2015. Here is the event description XXXX I found out I was not going to be able to attend the event and I identified a woman ( friend of my father ) in NY who was interested in purchasing my ticket. We agreed on a price of {$45.00}, and that she would pay me via paypal. I sent her the ticket ( address in NY ) once I saw that she had submitted the money transfer. However in the subject line of the payment, she said, payment for ticket to XXXX, XXXX ( name of the event ) and now paypal is holding the money pending an XXXX investigation?? She has provided the website for the event and explanation that the transaction has no involvement with anyone in XXXX or any good coming from XXXX. This would seem to be a mistake that could easily be cleared up, but the payment was submitted on XXXX XXXX, 2015 and paypal still has n't released the payment to me. They will not give me a timeline for when the investigation will be complete or if they can simply not process the transaction and return the money to the sender. I do n't believe they should be able to hold my money indefinitely. This guilty by 'word association ' is bordering on ridiculous.",,"Paypal Holdings, Inc",MA,,Web,Closed with monetary relief,1,0.0,2015,12,1,Money transfer / service
2017-09-21,Debt collection,Medical debt,Communication tactics,"You told them to stop contacting you, but they keep trying",,,"CMRE Financial Services, Inc.",CA,,Web,Closed with explanation,1,,2017,9,0,Debt collection
2021-03-04,Debt collection,Other debt,Written notification about debt,Didn't receive notice of right to dispute,Received a bill from Aargon collection company of club dues. I was not given opportunity to dispute the item.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Aargon Agency, Inc.",NV,,Web,Closed with explanation,1,,2021,3,1,Debt collection
2017-04-06,Credit card,,Billing disputes,,"I transferred a balance that is supposed to be interest free for 15 months, I believe. I also make purchases with the same card I have the transfer balance on. Although I pay my purchase total in full each cycle, I am still being charged interest, when the only balance that is left is my transfer balance. When I called to ask how this can be, it was explained to me that basically my purchases made after I transferred my balance over falls behind the transfer balance amount, so in essence I will never pay off my "" purchases '' until I pay off the transfer balance ( which is a substantial amount ), since payments are applied to the oldest transaction first. By them doing it this way, I will forever be charged interest on my "" purchase '' totals until the full balance is paid. I have since stopped using that card for purchases, realizing the interest is just going to grow, but this seems very unethical to me. Seems like my purchase balance and transfer balance should be kept separate and payments should be applied to purchases first, since that is where interest currently accrues. Is this ethical?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,,Web,Closed with explanation,1,0.0,2017,4,1,Credit card
2013-09-19,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",IL,,Web,Closed with explanation,1,0.0,2013,9,0,Mortgage
2024-05-02,"Payday loan, title loan, personal loan, or advance loan",Payday loan,Problem with the payoff process at the end of the loan,,My ex spouse was contacted and given information about my debt,,CNG FINANCIAL CORPORATION,MI,,Web,Closed with explanation,1,,2024,5,1,Payday loan / title / personal
2018-11-29,Credit card or prepaid card,General-purpose prepaid card,Trouble using the card,Trouble getting information about the card,The date is XX/XX/2018 thr time is XXXX I sit here making a complaint against The American Express Blurbird Card I usually get my Direct Deposit the day or 2 before everybody else I have been waiting patiently for this Direct Deposit only to find out this morning at around XXXX XXXX   that Bluebird is down for scheduled maintenance that was 7 hours ago I tried to call Bluebird and to see how long its going to be down and I keep getting disconnected the phone rings once then disconnects I have not heard of any updates nor have I gotten my Direct deposit that should of been here today I am so beyond upset with Bluebird and will no longer be a customer of theirs please fix this,,AMERICAN EXPRESS COMPANY,NY,,Web,Closed with explanation,1,,2018,11,1,Credit card
2026-02-18,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",AL,,Web,Closed with explanation,1,,2026,2,0,Debt collection
2017-05-24,Mortgage,Other type of mortgage,Trouble during payment process,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MS,,Referral,Closed with explanation,1,,2017,5,0,Mortgage
2025-01-22,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,"I sent a letter to Credit Collection Services to verify a debt they are attempting to collect from me. I gave them 30 days to respond in which I still have not heard back from them. 

I sent the letter certified mail and the tracking number is XXXX",Company believes it acted appropriately as authorized by contract or law,"CCS Financial Services, Inc.",NC,,Web,Closed with non-monetary relief,0,,2025,1,1,Debt collection
2021-12-17,Mortgage,Conventional home mortgage,Trouble during payment process,,,,"CARRINGTON MORTGAGE SERVICES, LLC",TX,"Older American, Servicemember",Web,Closed with explanation,1,,2021,12,0,Mortgage
2018-04-06,Credit card or prepaid card,General-purpose prepaid card,Unexpected or other fees,,"In XX/XX/XXXX, XXXX  XXXX opened a credit card from Capital one and assigned her daughter, XXXX XXXX as an authorized user. XXXX defaulted on her payment and as a result, the Capital One reported a claim on XX/XX/XXXX. XXXX XXXX, now at the age of XXXX is applying for a Mortgage loan and came to the dismay that the credit card her mom opened and defaulted on is affecting her credit today. XXXX XXXX would like to request the removal of the Capital One Credit Card due to only being an authorized user at the time.",,CAPITAL ONE FINANCIAL CORPORATION,CA,,Web,Closed with non-monetary relief,1,,2018,4,1,Credit card
2015-02-25,Bank account or service,Checking account,"Account opening, closing, or management",,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,"Older American, Servicemember",Phone,Closed with monetary relief,1,0.0,2015,2,0,Bank account / service
2021-10-18,Credit card or prepaid card,General-purpose credit card or charge card,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,NJ,,Web,Closed with explanation,1,,2021,10,0,Credit card
2024-03-25,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with the interest rate,,,"American Credit Acceptance, LLC",TX,,Web,Closed with explanation,1,,2024,3,0,Vehicle loan / lease
2026-02-02,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"My son opened a credit card and put me on as an authorized user. He lost his job and isnt paying it, and Citibank cbna is reporting negative to my credit. Ive contacted them before and was told they took me off, they didnt. I tried calling today but I can not talk to an actual person. I dont have card info, or my sons info. Would just like them to stop reporting negative to my credit report, I had nothing to do with this card.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,,Web,Closed with non-monetary relief,1,,2026,2,1,Credit card
2023-05-08,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,,Mr. Cooper Group Inc.,CA,Older American,Phone,Closed with explanation,1,,2023,5,0,Mortgage
